id,category,question,canonical_question,answer,tags,persona,risk_factor,intent
1,건망증/치매 차이,단순 건망증과 치매의 차이에 대해 알려주세요.,단순 건망증과 치매는 어떻게 다른가요?,"단순 건망증은 힌트를 주면 기억이 돌아오지만, 인지 기능 저하는 힌트를 줘도 기억을 되찾기 어렵고 일상생활에 지장을 줍니다. 나이가 들면서 생기는 건망증은 자연스러운 현상일 수 있습니다. 걱정되신다면 가까운 보건소 치매안심센터를 방문해 전문가와 상담해 보시길 권합니다. 본 서비스는 의료적 진단을 제공하지 않습니다.","건망증,치매,차이,기억력",생활습관 불균형형,인지기능 저하,정보 탐색
2,건망증/치매 차이,단순 건망증과 치매의 차이가 궁금합니다.,단순 건망증과 치매는 어떻게 다른가요?,"단순 건망증은 힌트를 주면 기억이 돌아오지만, 인지 기능 저하는 힌트를 줘도 기억을 되찾기 어렵고 일상생활에 지장을 줍니다. 나이가 들면서 생기는 건망증은 자연스러운 현상일 수 있습니다. 걱정되신다면 가까운 보건소 치매안심센터를 방문해 전문가와 상담해 보시길 권합니다. 본 서비스는 의료적 진단을 제공하지 않습니다.","건망증,치매,차이,기억력",생활습관 불균형형,인지기능 저하,정보 탐색
3,건망증/치매 차이,단순 건망증과 치매의 차이을 어떻게 하면 좋을까요?,단순 건망증과 치매는 어떻게 다른가요?,"단순 건망증은 힌트를 주면 기억이 돌아오지만, 인지 기능 저하는 힌트를 줘도 기억을 되찾기 어렵고 일상생활에 지장을 줍니다. 나이가 들면서 생기는 건망증은 자연스러운 현상일 수 있습니다. 걱정되신다면 가까운 보건소 치매안심센터를 방문해 전문가와 상담해 보시길 권합니다. 본 서비스는 의료적 진단을 제공하지 않습니다.","건망증,치매,차이,기억력",생활습관 불균형형,인지기능 저하,정보 탐색
4,건망증/치매 차이,단순 건망증과 치매의 차이에 대해 자세히 설명해 주세요.,단순 건망증과 치매는 어떻게 다른가요?,"단순 건망증은 힌트를 주면 기억이 돌아오지만, 인지 기능 저하는 힌트를 줘도 기억을 되찾기 어렵고 일상생활에 지장을 줍니다. 나이가 들면서 생기는 건망증은 자연스러운 현상일 수 있습니다. 걱정되신다면 가까운 보건소 치매안심센터를 방문해 전문가와 상담해 보시길 권합니다. 본 서비스는 의료적 진단을 제공하지 않습니다.","건망증,치매,차이,기억력",생활습관 불균형형,인지기능 저하,정보 탐색
5,건망증/치매 차이,단순 건망증과 치매의 차이은 어떻게 해야 하나요?,단순 건망증과 치매는 어떻게 다른가요?,"단순 건망증은 힌트를 주면 기억이 돌아오지만, 인지 기능 저하는 힌트를 줘도 기억을 되찾기 어렵고 일상생활에 지장을 줍니다. 나이가 들면서 생기는 건망증은 자연스러운 현상일 수 있습니다. 걱정되신다면 가까운 보건소 치매안심센터를 방문해 전문가와 상담해 보시길 권합니다. 본 서비스는 의료적 진단을 제공하지 않습니다.","건망증,치매,차이,기억력",생활습관 불균형형,인지기능 저하,정보 탐색
6,건망증/치매 차이,단순 건망증과 치매의 차이에 대해 도움이 필요합니다.,단순 건망증과 치매는 어떻게 다른가요?,"단순 건망증은 힌트를 주면 기억이 돌아오지만, 인지 기능 저하는 힌트를 줘도 기억을 되찾기 어렵고 일상생활에 지장을 줍니다. 나이가 들면서 생기는 건망증은 자연스러운 현상일 수 있습니다. 걱정되신다면 가까운 보건소 치매안심센터를 방문해 전문가와 상담해 보시길 권합니다. 본 서비스는 의료적 진단을 제공하지 않습니다.","건망증,치매,차이,기억력",생활습관 불균형형,인지기능 저하,정보 탐색
7,건망증/치매 차이,단순 건망증과 치매의 차이을 위한 방법이 있을까요?,단순 건망증과 치매는 어떻게 다른가요?,"단순 건망증은 힌트를 주면 기억이 돌아오지만, 인지 기능 저하는 힌트를 줘도 기억을 되찾기 어렵고 일상생활에 지장을 줍니다. 나이가 들면서 생기는 건망증은 자연스러운 현상일 수 있습니다. 걱정되신다면 가까운 보건소 치매안심센터를 방문해 전문가와 상담해 보시길 권합니다. 본 서비스는 의료적 진단을 제공하지 않습니다.","건망증,치매,차이,기억력",생활습관 불균형형,인지기능 저하,정보 탐색
8,건망증/치매 차이,단순 건망증과 치매의 차이에 대해 쉽게 설명해 주세요.,단순 건망증과 치매는 어떻게 다른가요?,"단순 건망증은 힌트를 주면 기억이 돌아오지만, 인지 기능 저하는 힌트를 줘도 기억을 되찾기 어렵고 일상생활에 지장을 줍니다. 나이가 들면서 생기는 건망증은 자연스러운 현상일 수 있습니다. 걱정되신다면 가까운 보건소 치매안심센터를 방문해 전문가와 상담해 보시길 권합니다. 본 서비스는 의료적 진단을 제공하지 않습니다.","건망증,치매,차이,기억력",생활습관 불균형형,인지기능 저하,정보 탐색
9,건망증/치매 차이,단순 건망증과 치매의 차이에 대한 조언을 주세요.,단순 건망증과 치매는 어떻게 다른가요?,"단순 건망증은 힌트를 주면 기억이 돌아오지만, 인지 기능 저하는 힌트를 줘도 기억을 되찾기 어렵고 일상생활에 지장을 줍니다. 나이가 들면서 생기는 건망증은 자연스러운 현상일 수 있습니다. 걱정되신다면 가까운 보건소 치매안심센터를 방문해 전문가와 상담해 보시길 권합니다. 본 서비스는 의료적 진단을 제공하지 않습니다.","건망증,치매,차이,기억력",생활습관 불균형형,인지기능 저하,정보 탐색
10,건망증/치매 차이,단순 건망증과 치매의 차이이 정말 도움이 되나요?,단순 건망증과 치매는 어떻게 다른가요?,"단순 건망증은 힌트를 주면 기억이 돌아오지만, 인지 기능 저하는 힌트를 줘도 기억을 되찾기 어렵고 일상생활에 지장을 줍니다. 나이가 들면서 생기는 건망증은 자연스러운 현상일 수 있습니다. 걱정되신다면 가까운 보건소 치매안심센터를 방문해 전문가와 상담해 보시길 권합니다. 본 서비스는 의료적 진단을 제공하지 않습니다.","건망증,치매,차이,기억력",생활습관 불균형형,인지기능 저하,정보 탐색
11,건망증/치매 차이,단순 건망증과 치매의 차이을 시작하려면 어떻게 해야 하나요?,단순 건망증과 치매는 어떻게 다른가요?,"단순 건망증은 힌트를 주면 기억이 돌아오지만, 인지 기능 저하는 힌트를 줘도 기억을 되찾기 어렵고 일상생활에 지장을 줍니다. 나이가 들면서 생기는 건망증은 자연스러운 현상일 수 있습니다. 걱정되신다면 가까운 보건소 치매안심센터를 방문해 전문가와 상담해 보시길 권합니다. 본 서비스는 의료적 진단을 제공하지 않습니다.","건망증,치매,차이,기억력",생활습관 불균형형,인지기능 저하,정보 탐색
12,건망증/치매 차이,단순 건망증과 치매의 차이에 대해 더 알고 싶습니다.,단순 건망증과 치매는 어떻게 다른가요?,"단순 건망증은 힌트를 주면 기억이 돌아오지만, 인지 기능 저하는 힌트를 줘도 기억을 되찾기 어렵고 일상생활에 지장을 줍니다. 나이가 들면서 생기는 건망증은 자연스러운 현상일 수 있습니다. 걱정되신다면 가까운 보건소 치매안심센터를 방문해 전문가와 상담해 보시길 권합니다. 본 서비스는 의료적 진단을 제공하지 않습니다.","건망증,치매,차이,기억력",생활습관 불균형형,인지기능 저하,정보 탐색
13,건망증/치매 차이,단순 건망증과 치매의 차이가 뇌 건강에 좋다는 게 사실인가요?,단순 건망증과 치매는 어떻게 다른가요?,"단순 건망증은 힌트를 주면 기억이 돌아오지만, 인지 기능 저하는 힌트를 줘도 기억을 되찾기 어렵고 일상생활에 지장을 줍니다. 나이가 들면서 생기는 건망증은 자연스러운 현상일 수 있습니다. 걱정되신다면 가까운 보건소 치매안심센터를 방문해 전문가와 상담해 보시길 권합니다. 본 서비스는 의료적 진단을 제공하지 않습니다.","건망증,치매,차이,기억력",생활습관 불균형형,인지기능 저하,정보 탐색
