id,user_text,recommendation_title,recommendation_text,category,priority
1,머리가 둔해진 느낌이에요,두뇌 활동 시간 확보,매일 일정한 시간에 뇌를 쓰는 활동을 정해 습관처럼 이어가보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.,인지활동,중
2,혼자 있는 시간이 너무 많아요 가족이나 친구와 대화 빈도가 적음.,사회적 교류 늘리기,가족이나 친구와 주 2회 이상 짧게라도 대화할 시간을 만들어보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.,사회활동,상
3,뇌를 좀 더 쓰는 활동이 필요할까요? 요즘 집중력이 예전보다 떨어짐 편이고 새로운 자극이 줄어듦도 함께 느껴집니다.,인지 자극 루틴,"독서, 퍼즐, 끝말잇기, 숫자 기억하기 같은 활동을 하루 10분씩 실천해보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.",인지활동,상
4,요즘 무기력하고 의욕이 없어요 기분이 자주 가라앉음.,정서 회복 루틴,"짧은 산책, 호흡 운동, 감사일기처럼 부담이 적은 감정 관리 루틴을 실천해보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.",정서,상
5,운동을 시작하고 싶은데 의지가 안 나요,가벼운 스트레칭,아침과 저녁에 10분 정도 전신 스트레칭을 실천해보세요. 한 번에 완벽하게 하려 하기보다 꾸준히 반복하는 것이 더 중요합니다.,운동,중
6,"물건 둔 곳을 자주 잊어요 그리고 가끔 같은 질문을 반복하게 됨, 물건 둔 곳을 자주 잊음.",기억력 관찰 일지,최근 기억력 변화를 간단한 메모나 일기로 기록해보세요. 일주일 단위로 실천 여부를 점검하면 꾸준함을 유지하는 데 도움이 됩니다.,인지관찰,상
7,운동을 꾸준히 못 하고 있어요,걷기 루틴 시작,하루 20분 산책부터 시작해 신체활동을 조금씩 늘려보세요. 무리하지 않는 범위에서 천천히 습관을 만들어가는 것이 중요합니다.,운동,상
8,감정 기복이 심한 것 같아요 혼자 있는 시간이 많음.,정서 회복 루틴,"짧은 산책, 호흡 운동, 감사일기처럼 부담이 적은 감정 관리 루틴을 실천해보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.",정서,상
9,치매 예방에 좋은 음식이 궁금해요 식사 시간이 불규칙함.,식사 시간 고정,하루 세 끼 식사 시간을 일정하게 맞추는 것부터 시작해보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.,식습관,상
10,"자주 깨서 푹 못 자요 그리고 아침 피로가 큼, 평균 수면 시간이 짧음.",저녁 루틴 정비,취침 전 스마트폰 사용과 카페인 섭취를 줄여 수면의 질을 높여보세요. 하루 목표를 너무 크게 잡지 말고 작은 실천부터 시작하세요.,수면,상
