id,question,answer,category,keywords,source_type
1,부모님이 부모님이 자주 잊어버리시는데 어떻게 대처해야 하나요 주의할 점도 있나요?,"바로 단정하기보다 증상이 언제부터 얼마나 자주 나타나는지 기록하고, 일상생활의 변화가 있는지 함께 살펴보는 것이 좋습니다. 개인 상태에 따라 차이가 있을 수 있으므로 생활습관과 증상의 변화를 함께 살펴보는 것이 중요합니다.",가족대처,"부모님,기억력,대처",manual
2,치매가 의심되면 어떻게 해야 하나요 관련해서 자세히 알려주세요?,기억력 저하나 일상생활의 어려움이 지속되면 전문 의료기관 상담을 받아보는 것이 좋습니다. 증상이 지속되거나 일상생활에 불편이 생기면 전문가 상담을 받아보는 것이 좋습니다.,상담,"치매의심,상담,의료기관",manual
3,기억력이 조금 나빠진 것 같으면 바로 치매인가요 실생활에서는 어떻게 대처하면 좋나요?,"기억력 저하가 있다고 해서 모두 치매는 아니며 스트레스, 수면 부족, 우울감 같은 다양한 원인도 영향을 줄 수 있습니다. 개인 상태에 따라 차이가 있을 수 있으므로 생활습관과 증상의 변화를 함께 살펴보는 것이 중요합니다.",기억력,"기억력저하,스트레스,수면",manual
4,인지활동에는 어떤 것이 있나요 관련해서 자세히 알려주세요?,"독서, 퍼즐, 단어 연상, 숫자 기억하기, 새로운 취미 배우기 같은 활동이 인지 자극에 도움이 됩니다. 증상이 지속되거나 일상생활에 불편이 생기면 전문가 상담을 받아보는 것이 좋습니다.",인지활동,"독서,퍼즐,인지활동",manual
5,병원 상담은 언제 받아야 하나요 비슷한 경우에는 어떻게 해야 하나요?,"기억력 저하가 반복되거나 시간·장소 혼동, 일상생활의 어려움이 함께 나타나면 상담을 고려하는 것이 좋습니다. 불안이 크다면 혼자 판단하기보다 전문적인 도움을 받는 편이 더 안전합니다.",상담,"병원,상담,시점",manual
6,인지활동에는 어떤 것이 있나요?,"독서, 퍼즐, 단어 연상, 숫자 기억하기, 새로운 취미 배우기 같은 활동이 인지 자극에 도움이 됩니다. 무리한 자가 판단보다는 꾸준한 관찰과 기본 생활관리부터 시작하는 것이 좋습니다.",인지활동,"독서,퍼즐,인지활동",manual
7,부모님이 치매가 의심되면 어떻게 해야 하나요 주의할 점도 있나요?,기억력 저하나 일상생활의 어려움이 지속되면 전문 의료기관 상담을 받아보는 것이 좋습니다. 불안이 크다면 혼자 판단하기보다 전문적인 도움을 받는 편이 더 안전합니다.,상담,"치매의심,상담,의료기관",manual
8,요즘 인지활동에는 어떤 것이 있나요  궁금해요?,"독서, 퍼즐, 단어 연상, 숫자 기억하기, 새로운 취미 배우기 같은 활동이 인지 자극에 도움이 됩니다. 무리한 자가 판단보다는 꾸준한 관찰과 기본 생활관리부터 시작하는 것이 좋습니다.",인지활동,"독서,퍼즐,인지활동",manual
9,치매 초기 증상은 무엇인가요 어떻게 봐야 하나요?,치매 초기에는 최근 일을 잊거나 같은 질문을 반복하고 시간이나 장소를 혼동하는 증상이 나타날 수 있습니다. 증상이 지속되거나 일상생활에 불편이 생기면 전문가 상담을 받아보는 것이 좋습니다.,초기증상,"치매,초기증상,기억력",manual
10,혹시 치매 예방에 좋은 음식이 있나요?,"특정 음식 하나보다 채소, 생선, 견과류, 단백질, 수분을 포함한 균형 잡힌 식사가 더 중요합니다. 무리한 자가 판단보다는 꾸준한 관찰과 기본 생활관리부터 시작하는 것이 좋습니다.",식습관,"치매예방,음식,식습관",manual
11,부모님이 치매 예방에 좋은 음식이 있나요  어떻게 봐야 하나요?,"특정 음식 하나보다 채소, 생선, 견과류, 단백질, 수분을 포함한 균형 잡힌 식사가 더 중요합니다. 무리한 자가 판단보다는 꾸준한 관찰과 기본 생활관리부터 시작하는 것이 좋습니다.",식습관,"치매예방,음식,식습관",manual
12,병원 상담은 언제 받아야 하나요?,"기억력 저하가 반복되거나 시간·장소 혼동, 일상생활의 어려움이 함께 나타나면 상담을 고려하는 것이 좋습니다. 무리한 자가 판단보다는 꾸준한 관찰과 기본 생활관리부터 시작하는 것이 좋습니다.",상담,"병원,상담,시점",manual
13,부모님이 자주 잊어버리시는데 어떻게 대처해야 하나요 실생활에서는 어떻게 대처하면 좋나요?,"바로 단정하기보다 증상이 언제부터 얼마나 자주 나타나는지 기록하고, 일상생활의 변화가 있는지 함께 살펴보는 것이 좋습니다. 개인 상태에 따라 차이가 있을 수 있으므로 생활습관과 증상의 변화를 함께 살펴보는 것이 중요합니다.",가족대처,"부모님,기억력,대처",manual
14,식습관도 인지 건강과 관련이 있나요 비슷한 경우에는 어떻게 해야 하나요?,균형 잡힌 식사와 규칙적인 식습관은 전반적인 건강 유지에 중요하며 인지 건강 관리에도 도움이 될 수 있습니다. 개인 상태에 따라 차이가 있을 수 있으므로 생활습관과 증상의 변화를 함께 살펴보는 것이 중요합니다.,식습관,"식습관,영양,인지건강",manual
15,사회활동이 왜 중요한가요 관련해서 자세히 알려주세요?,사회적 교류는 정서적 안정과 인지 자극에 도움이 될 수 있어 꾸준한 소통이 중요합니다. 증상이 지속되거나 일상생활에 불편이 생기면 전문가 상담을 받아보는 것이 좋습니다.,사회활동,"사회활동,교류,정서",manual
